,Category,Message
1753,ham,give one miss number please
347,ham,dis yijue jus saw ur mail case huiming havent sent num dis num
3744,ham,nah wednesday bring mini cheetos bag
3795,ham,short cute good person dont try prove gud noon
272,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay
291,ham,hey told name gautham ah
1372,ham,though shd go fun bar town something – sound ok
4501,ham,nvm take ur time
4923,ham,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply
5490,ham,sent
3374,ham,looks like found something smoke great job
346,ham,gudnitetcpractice going
1416,ham,jay snickering tells totally fucking chords speak
3137,ham,let know details fri find cos im tom fri mentionned chinese thanks
4246,ham,toshiba portege gd
1098,ham,dont fret ill buy ovulation test strips send wont get til like march send postal addressull alrightokay
2030,ham,thanx birthday already
4202,ham,wylie update weed dealer carlos went freedom class lunsford
158,ham,hello love get interview today happy good boy think meare missing
340,ham,calling right call hand phone
2258,ham,got lots hair dresser fr china
1228,ham,üll submitting da project tmr rite
865,ham,dude ive seeing lotta corvettes lately
4972,ham,hey come online use msn
585,ham,hows scotland hope showing jjc tendencies take care live dream
4600,ham,laid airtel line rest
963,ham,watching cartoon listening music eve go temple church
620,ham,let snow let snow kind weather brings ppl together friendships grow
1474,ham,gon na blakes night might able get little early
4664,ham,yes please swimming
768,ham,sorry ill call later
3107,ham,hoping would send message rent due dont enough reserves completely gone loan need hoping could balance way could get till mid march hope pay back
2415,ham,fps
1331,ham,aight rush ill ask jay
459,ham,call cost guess isnt bad miss ya need ya want ya love ya
3116,ham,wait ü inside da car park
3254,ham,kkits goodwhen going
1693,ham,weightloss girl friends make loads money ebay something give thanks god
4182,ham,ok da already planned wil pick
1656,ham,go ok na
267,ham,sure yet still trying get hold
4674,ham,forgot ask ü smth theres card da present lei ü want write smth sign
1079,ham,convey regards
4288,ham,wud never mind dont miss dont need wil really hurt wen need dont tell take care
3404,ham,good night dear sleepwelltake care
2996,ham,mm entirely sure understood text hey ho weekend
906,ham,hey whats charles sorry late reply
4924,ham,oh yah never cancel leh haha
793,ham,ywhere dogbreath sounding like jan that al
1208,ham,need strong arms
941,ham,sell well tons coins sell coins someone thru paypal voila money back life pockets
2933,ham,students solved cat question xam tell answer brilliantthingi got answr
4581,ham,hi engagement fixd th next month know really shocking bthmm njan vilikkamt ws al sudn
4003,ham,get gift year didnt get anything bad
1472,ham,oh must taken real valentine shopping first
2451,ham,kgive back thanks
189,ham,got xmas radio times get
269,ham,evo download flash jealous
298,ham,hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl
4350,ham,ü bot notes oredi cos juz rem got
2106,ham,fetch yun fetch
4227,ham,ok thats cool either raglan rd edward rd behind cricket ground gim ring ur closeby see tuesday
3843,ham,chile please decimal hour drive come time subletting febapril audition season
20,ham,seriously spell name
4239,ham,lol wtf random btw lunch break
4706,ham,hey anyway
2775,ham,dude knw also teluguthts gudk gud nyt
3962,ham,dad back ph
3818,ham,number vivek
5350,ham,one interested may business plan
1215,ham,ill text creepy like wont think forgot
3838,ham,early bird purchases yet
994,ham,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead wish merry xmas
107,ham,aight ill hit get cash
5506,ham,gods love limit gods grace measure gods power boundaries may gods endless blessings always ur life gud ni
5034,ham,really good see day dudette missing
1264,ham,ok wahala remember friend need
3447,ham,mon okie lor haha best cheap gd food la ex oso okie depends whether wana eat western chinese food den prefer
1543,ham,press conference da
35,ham,yup ok go home look timings msg ü xuhui going learn nd may lesson
3466,ham,haha figures well found piece priscillas bowl
4445,ham,come back tampa ffffuuuuuuu
5419,ham,im bruce fowler im moms car cant park long story
4749,ham,beauty life next second hides thousands secrets wish every second wonderful ur life gud
4262,ham,pls dont forget study
3413,ham,didnt search online let know
3922,ham,thing change sentence want concentrate educational career im leaving
2180,ham,popping ibuprofens help
1189,ham,come alivebetter correct good looking figure
800,ham,gim minutes ago
3133,ham,ive barred stores lifethis twat orange dungerees came asked wanted decking got first punch
5093,ham,gokila talking aha
637,ham,sweetheart hope kind day one loads reasons smile biola
4027,ham,oh ok wats ur email
1365,ham,hey really pretty late want go lesson first join im reaching tp mrt
705,ham,true deari sat pray evening felt soso smsd time
3232,ham,plm come da way
4807,ham,call finish come pick
2994,ham,im list buyers
567,ham,oooh bed ridden ey thinking
740,ham,haha mayb ure rite know well da feeling liked someone gd lor faster go find one gals group attached liao
4690,ham,didnt try decided head
1662,ham,arent coming home class right need work shower
1321,ham,sent scream moan bed princess
2749,ham,send number give reply tomorrow morning said like ok
1309,ham,jokin oni lar ü busy wun disturb ü
2498,ham,dai da send resume id
1654,ham,bugis juz wat im walking home oredi ü late reply oso saw top dat like din buy ü
628,ham,yup thk teacher said make face look longer darren ask cut short
2883,ham,hi harishs rent transfred ur acnt
1265,ham,see half hour
84,ham,yup next stop
729,ham,exactly anyways far jide study visiting
5509,ham,lol mad first woke gave
3369,ham,hey elaine todays meeting still
4550,ham,haha friend tyler literally asked could get dubsack
545,ham,girl stay bed girl doesnt need recovery time id rather pass fun cooped bed
3746,ham,aight let know youre gon na around usf
2139,ham,still loving
1596,ham,pls confirm time collect cheque
1243,ham,nobody decide eat dad wants chinese
131,ham,im home
3122,ham,small problem auctionpunj asking tiwary
413,ham,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
5525,ham,want tell bad feel basically times text lately need drugs
623,ham,make sure alex knows birthday fifteen minutes far youre concerned
3619,ham,hey check da listed da
2796,ham,creep
4894,ham,send new number
3550,ham,got like get later though get whatever feel like
702,ham,sorry ill call later
675,ham,ive got way could pick
580,ham,arngd marriage walkin unfortuntly snake bites bt love marriage dancing frnt snake sayin bite bite
3281,ham,badrith chennaii surely pick usno competition
210,ham,shoot big loads get ready
3142,ham,customer place call
4235,ham,reached home tired come tomorro
4859,ham,ok
3371,ham,tiime dont let hug dont break tears
551,ham,imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
1655,ham,wishing family merry mas happy new year advance
3183,ham,parents kidz friends colleagues screaming surprise waiting sofa naked
5193,ham,wylie tampa sarasota
3636,ham,make cry stuff happens top everything else pushes edge dont underdtand often cry sorry sorry life
2035,ham,avatar supposed subtoitles
4946,ham,anyway dont think secure anything lem know want drive south chill
1452,ham,ya ü taking ure practical lessons start june
1406,ham,kkany special today
3970,ham,thanks message really appreciate sacrifice im sure process direct pay find way back test tomorrow im class wonderful day
3262,ham,yup im still coffee wif frens fren drove shell give lift
2846,ham,class hours sorry
4745,ham,thinking
3029,ham,got tallent wasting
4305,ham,good good billy mates gone jogging enjoy concert
4915,ham,youve already got flaky parent itsnot supposed childs job support parentnot theyre ride age anyway im supposed support ive hurt unintentional hurt nonetheless
851,ham,reach orchard already wan go buy tickets first
1796,ham,hope alright babe worry might felt bit desparate learned job fake waiting come back love
3596,ham,huh cant go ur house empty handed right
1010,ham,dear heroi leaving qatar tonite apt opportunitypls keep touch email kerala
1728,ham,went project centre
2228,ham,oh kkwhere take test
4847,ham,pls help tell ashley cant find number oh
4702,ham,liked new mobile
1092,ham,please da call mistake side sorry da pls da goto doctor
2875,ham,crucify told earlier
53,ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
2653,ham,need drug anymore
4408,ham,awesome plan get time like ill text details wee bit
558,ham,know friend already told
1525,ham,hicts employee
4675,ham,im leaving house
2874,ham,dont understand message
4024,ham,well balls time make calls
2645,ham,friends use call
5218,ham,accidentally brought em home box
3671,ham,ok thanx take care
3986,ham,whatever juliana whatever want
497,ham,nope think go monday sorry replied late
2431,ham,txting driving
1585,ham,sorry ill call later
1566,ham,saw days ago guy wants sell wifi thats blanked
1788,ham,yessura sun tvlol
2847,ham,wat time finish ur lect today
883,ham,love give massages use lots baby oil fave position
2130,ham,mine like fr china noisy
128,ham,room
552,ham,hurry ive weeddeficient like three days
696,ham,good good job like entrepreneurs
2598,ham,got fujitsu ibm hp toshiba got lot model say
3108,ham,hi happy new year dont mean intrude pls let know much tuition paid last semester much semester thanks
5418,ham,really hows masters
2802,ham,depends going lor
5344,ham,guys planning coming
4720,ham,aiyo lesson early im still sleepin haha okie go home liao den confirm lor
3376,ham,
5398,ham,hi hope good day better night
1937,ham,planning usually stops find hella weed smoke hella weed
5020,ham,great office today
378,ham,well theres lot things happening lindsay new years sighs bars ptbo blue heron something going
4826,ham,going sleep tired travel
5568,ham,ü going esplanade fr home
1037,ham,blankets sufficient thx
5545,ham,hi durban still number
1627,ham,dear ok
2058,ham,nothing got msg frm tht unknown
1949,ham,cant pick phone right pls send message
1286,ham,wondering others took
1898,ham,aight sounds good want come
829,ham,sorry light turned green meant another friend wanted worth may around
2162,ham,replying boye changed phone number
5408,ham,pub
5023,ham,yes possible dint try pls dont tell one
3677,ham,hey ü still online ive finished formatting
257,ham,mmm yummy babe nice jolt suzy
3840,ham,erm … ill pick pm thatll give enough time get park
341,ham,ok thats great thanx lot
2908,ham,alrite
2000,ham,lmao wheres fish memory need
3549,ham,single line big meaning miss anything ur best life dont miss ur best life anything gud nyt
1584,ham,cool let know kicks around ill day
2725,ham,nope ü
3600,ham,wat busy wif work
163,ham,im love im excited day spend make happy
4917,ham,dropped em omw back
3256,ham,hi kate give ring asap xxx
500,ham,dear reache room
3196,ham,great diddy neighbor comes toothpaste every morning
2051,ham,hi home calicut
5444,ham,good morning repair shopthe reason im hour
38,ham,anything lor decide
2649,ham,hi please get dollar loan ill pay back mid february pls
4271,ham,great hope using connections mode men also cos never know old friends lead today
3472,ham,heart empty without love mind empty without wisdom eyes empty without dreams life empty without frnds alwys touch good night sweet dreams
1385,ham,storming msg wen lift phne say hello knw wt real meaning hello name girl yes knw dat girl margaret hello girlfrnd grahmbell invnted telphone moralone get name person bt girlfrnd
1545,ham,completed degree use joining finance
656,ham,tell drug dealers getting impatient
2754,ham,derp worse dude always wants party dude files complaint three drug abusers lives
2010,ham,cant keep going never intention run choose rather keep room clean dont say visitors maybe thats best choice yes wanted embarassed maybe youd feel feel friend wants drop buy say happened morning ive tried everything dont know else
589,ham,ya srsly better yi tho
2995,ham,idea guess well work hour supposed leave since usual nobody interest figuring shit last second
2296,ham,hi darlin im missin hope good time back time give call home jess xx
3267,ham,tap spile seven pub gas st broad st canal ok
1976,ham,delhi chennai still silent
4560,ham,think da wil
4697,ham,guy gets used dumb realize
5186,ham,uploaded mine facebook
2573,ham,house water dock boat rolled newscaster dabbles jazz flute behind wheel
4442,ham,im going orchard laready reaching soon reaching
2822,ham,oh godtaken teethis paining
3861,ham,yep like pink furniture tho
5051,ham,vote wherever heart guides
5486,ham,ofcourse also upload songs
485,ham,change fb jaykwon thuglyfe falconerf
3583,ham,right meanwhile hows project twins comin
2253,ham,den wat schedule lk sun
646,ham,watching cartoon listening music eve go temple church
682,ham,ü log wat sdrybi
295,ham,accidentally deleted message resend please
3492,ham,ok
4184,ham,sorry ill call later meeting
1798,ham,get opinion something first
1425,ham,yes saw message
76,ham,thats cool gentleman treat dignity respect
283,ham,ok asked money far
3805,ham,dude fakemy frnds got money thts im reffering uif member wit mail link vl credited rs il getiing rsi draw acc wen rs
951,ham,awesome lem know whenever youre around
1938,ham,fact youre cleaning shows know im upset priority constantly want need
3605,ham,hey morning come ask pa
2020,ham,tomorrow onwards eve work
3637,ham,babe feel lets get itboth try cheer upnot fit soo muchxxlove locaxx
1749,ham,feel always happy slowly becomes habit finally becomes part life follow happy morning happy day
4113,ham,ill see prolly yeah
3903,ham,right brah see later
2349,ham,seems unnecessarily affectionate
85,ham,call later dont network urgnt sms
852,ham,real baby want bring inner tigress
1175,ham,yay better told girls either
4223,ham,yo around friend mines lookin pick later tonight
4464,ham,said look pretty wif long hair wat thk hes cutting quite short leh
1605,ham,god picked flower dippeditinadew lovingly touched itwhichturnedinto gifted tomeandsaidthis friend
4921,ham,says never answer texts confirmdeny
4666,ham,ok set let noe details later
4317,ham,cant speak bcaz mobile problem listen cannt listen voice calls later
4014,ham,ok
59,ham,yesgauti sehwag odi series
1872,ham,dont know supports ass srt thnk think ps play usb
5453,ham,except theres chick huge boobs
2102,ham,thk lor dunno get tickets wat
5436,ham,mode men left
1639,ham,great comedycant stop laughing da
863,ham,sorry guess whenever get hold connections maybe hour two ill text
4660,ham,cant pick phone right pls send message
2958,ham,would im still cozy exhausted last nightnobody went school work everything closed
5165,ham,ü still got lessons ü sch
5261,ham,absolutely love south park recently started watching office
3884,ham,gumbys special cheese pizza know doin tonight
4180,ham,ü send copy da report
3594,ham,sorry ill call later
4771,ham,cheers lou yeah goodnite shame neva came ya gailxx
2358,ham,okay well thanks clarification
2810,ham,oh yeah forgot take shopping
3578,ham,yeah confirmed staying weekend
3689,ham,ill meet lobby
2351,ham,place man
1671,ham,lmaonice
2797,ham,tell friends plan valentines day url
3576,ham,one teach ship cars
182,ham,lol trust
1927,ham,dont give monkeys wot think certainly dont mind friend mineall dont sleep wiv wud annoyin
4484,ham,true lov care wil nevr go unrecognized though somone often makes mistakes valuing definitly undrstnd start missing
3610,ham,joys father john john joys father ans ths hav iq tis ias question try answer
4059,ham,hi di yijue meeting pm esaplanade tonight
5219,ham,pls needs dat slowly vomit
732,ham,didnt spring coming early yay
2441,ham,great im church holla get
4611,ham,glad talking
572,ham,know lab goggles went
993,ham,ü ü wan come come lor din stripes skirt
3448,ham,sitting ard nothing lor leh busy work
3899,ham,otherwise part time job natuition
3455,ham,dont file bagi work called mei tell find anything room
276,ham,thanx
2684,ham,im okay chasing dream whats good next
2835,ham,sick still go shopping
1368,ham,dont know thing thats wrong everyso often panicks starts goin bout bein good enough …
5099,ham,ah well confuses things doesnt thought friends maybe wrong thing already sort invited tho may come cos money
2542,ham,dont send plus hows mode
1772,ham,watching tv got new job
2512,ham,er yep sure props
1013,ham,dunno close oredi ü fan
484,ham,thank baby cant wait taste real thing
1413,ham,wen ur lovable bcums angry wid dnt take seriously coz angry childish true way showing deep affection care luv kettoda manda nice day da
901,ham,probably money worries things coming due several outstanding invoices work two three months ago
4192,ham,moment dayhas valuemorning brings hopeafternoon brings faithevening brings luvnight brings restwish find todaygood morning
2851,ham,shes fine good hear dear happy new year oh
5029,ham,go chase run shes crossing street
2101,ham,oh howda gud gud mathe en samachara chikku
180,ham,hi spoke maneesha wed like know satisfied experience reply toll free yes
110,ham,dont worry guess hes busy
25,ham,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
4934,ham,free call sir
5520,ham,dont want hear anything
2979,ham,yar lor keep raining non stop wan go elsewhere
1441,ham,cool breeze bright sun fresh flower twittering birds waiting wish goodmorning nice day
2756,ham,outside already
5086,ham,omg one thing another cat worms bad day end
2499,ham,know ill around
3406,ham,jus chillaxin
2694,ham,nice new shirts thing wear nudist themed mu
5405,ham,many days since
5338,ham,wan na gym
3280,ham,solve case man found murdered decimal afternoon wife called police police questioned everyone wife siri sleeping murder took place cook cooking gardener picking vegetables housemaid went post office children went play neighbour went marriage police arrested murderer immediately whos reply reason brilliant
436,ham,message sent askin dollars shoul pay
2439,ham,busy juz dun wan go early hee
1359,ham,start sending blackberry torch nigeria find buyer melike month tell dad buy bb anyone oh
1300,ham,great hear settling well whats happenin wit ola
4944,ham,check maili mailed varma kept copy regarding membershiptake careinsha allah
3021,ham,thank much selflessness love plenty
281,ham,got called tool
3685,ham,dad says hurry hell
1786,ham,dun believe thk told
3079,ham,okay thought expert
1732,ham,lol well quality aint bad aint complaining
3435,ham,sending greetings joy happiness gr evening
1794,ham,bad girl still remember
4638,ham,oh ho first time use type words
905,ham,getting worried derek taylor already assumed worst
2027,ham,nah man car meant crammed full people
1994,ham,eh den sat book kb liao huh
3996,ham,continent
2778,ham,kind took garage centre part exhaust needs replacing part ordered taking fixed tomo morning
3751,ham,buzz hey love think hope day goes well sleep miss babe long moment together againloving smile
3364,ham,im free
4275,ham,ball moving lotwill spin last difficult bat
1235,ham,hellodrivbyquit edrunk sorry iff pthis makes senrddnot dancce drum basqihave fun nhite ros xxxxxxx
2091,ham,skallis wont play first two odi
4741,ham,keep seeing weird shit bein woah realising actually reasonable im oh
750,ham,monday next week give full gist
3516,ham,im job profile seems like bpo
2648,ham,taxt massagetiepos argh ok lool
698,ham,meet corporation st outside gap … see mind working
4090,ham,love brother time talk english grins say hey muhommad penny says hello across sea
1482,ham,im guy browsin compulsory
3931,ham,thk ü got ta go home urself cos ill going shopping frens present
3878,ham,sorry sir call tomorrow senthilhsbc
5554,ham,well keep mind ive got enough gas one round trip barring sudden influx cash
63,ham,sorry roommates took forever ok come
685,ham,wanted ask ü wait finish lect cos lect finishes hour anyway
699,ham,mum ask ü buy food home
2524,ham,sorry ill call later
624,ham,sorry got things may pub later
5025,ham,happen
2409,ham,dear reach
516,ham,sno competition
1822,ham,couldnt say dying man feel sad go wanted know would probably gone late night
4309,ham,ha ha popped loo helloed hello
798,ham,petey boy whereare friendsare thekingshead come canlove nic
3007,ham,also hi wesley howve
1510,ham,love someone dont make love much love much dont want loved anyone except gud nit
5083,ham,aiya discuss later lar pick ü
3726,ham,nothing splwat abt whr ru
3178,ham,meeting da call
2624,ham,im coming home dinner
3057,ham,webpage available
4909,ham,im solihull want anything
145,ham,yes see ya dot
3077,ham,mum hope great day hoping text meets well full life great day abiola
3699,ham,sbut luck catches put
5447,ham,takes away money worries
5130,ham,way
162,ham,new car house parentsi new job hand
2678,ham,abj serving staying dad alone
2026,ham,yes obviously eggspert potato head… speak soon
4911,ham,regret inform nhs made mistakeu never actually bornplease report yor local hospital terminatedwe sorry inconvenience
1437,ham,jus hope true missin cos im really missin havent done anything feel guilty yet
3125,ham,uncles atlanta wish guys great semester
599,ham,exhausted train morning much wine pie sleep well
4399,ham,tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria less expensive much less expensive unless getting citizen rates new zealand
3399,ham,simple arithmetic percentages
4039,ham,hope scared
4022,ham,pick rayan macleran
2891,ham,shuhui bought rons present swatch watch
294,ham,much buzy
2233,ham,nothing getting msgs dis name wit different nos
3223,ham,hi love goes day fuck morning woke dropped cell way stairs seems alright phews miss
148,ham,ummmawill call check inour life begin qatar pls pray hard
2717,ham,housemaid murderer coz man murdered th january public holiday govtinstituitions closedincluding post officeunderstand
4951,ham,hi probably much fun get message thought id txt cos im bored james farting night
1944,ham,got lousy sleep kept waking every hours see cat wanted come worry cold
1249,ham,hi hun im comin nitetell every im sorry hope ava goodtimeoli rang melnite ifink mite sortedbut il explain everythin monlrsx
663,ham,sorry going home first daddy come fetch ü later
3670,ham,yeah imma come cause jay wants drugs
4085,ham,quite ok bit ex better go eat smth else ill feel guilty
2379,ham,hi mobile added contact list great place send free sms people visit fullonsmscom
3627,ham,yeah right ill bring tape measure fri
3588,ham,ride equally uneventful many pesky cyclists around time night
1894,ham,good morning plz call sir
4734,ham,good morning dear shijutta great successful day
4391,ham,know god created gap fingers one made comes fills gaps holding hand love
5062,ham,sorry ill call later meeting sir
1860,ham,whats want come online
373,ham,im going bath msg next min
5154,ham,like question
2894,ham,ill sure get noon see whats
322,ham,hey dont go watch men lunch haha
4608,ham,running managed minutes needed oxygen might resort roller option
770,ham,lol know theyre dramatic schools already closed tomorrow apparently cant drive inch snow supposed get
4598,ham,full heat pa applyed oil pa
3190,ham,going get
4365,ham,remember
4723,ham,im home love still awake loving kiss
4115,ham,stand away doesnt heart ache without dont wonder dont crave
5001,ham,well like actually called someone punto woulda worse
2637,ham,thank god bed
4083,ham,check rooms befor activities
5386,ham,im work please call
1882,ham,ok ü finishing soon
348,ham,one small prestige problem
2919,ham,thanks chikku gud nyt
4694,ham,tessypls favor pls convey birthday wishes nimyapls dnt forget today birthday shijas
1180,ham,day class class
1052,ham,noe wat time place dat sells closes
4483,ham,reckon need arrange transport cant thanks
1240,ham,hope great new semester wish best made greatness
1677,ham,yeah thats fine £ get ok
4031,ham,cool ill text
3842,ham,howz painit come todaydo said ystrdayice medicine
3597,ham,good morning princess happy new year
2672,ham,thats cool ill come like ish
4742,ham,many happy returns day wish happy birthday
1725,ham,bold
5275,ham,oh yeah clearly fault
441,ham,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get
3480,ham,sure check yahoo email sent photos yesterday
2737,ham,really crashed cuddled sofa
2572,ham,… ‘ worry ‘ finished march … ish
2460,ham,nope meanwhile talk say make greet
1223,ham,teach apps da come college
3203,ham,okay lor wah like def wont let us go haha say terms conditions
2142,ham,alright took morphine back yo
2287,ham,two letters copy cos one message speak soon
3276,ham,hurry home big butt hang last caller food done im starving dont ask cooked
1735,ham,think going finns come
4979,ham,jade paul didn txt remember barmed want talk txt
957,ham,love isnt decision feeling could decide love life would much simpler less magical
2577,ham,sch neva mind eat st lor
2740,ham,much buzy
811,ham,ssnervous
208,ham,aight yo dats straight dogg
2667,ham,nice day impressively sensible went home early feel fine boring whens cant remember
4619,ham,nvm im going wear sport shoes anyway im going late leh
57,ham,sorry ill call later meeting
3001,ham,id onluy matters getting offcampus
783,ham,beerage
1486,ham,add dont really care cant least get dude fuck hey money want
1575,ham,sis catching show afternoon im watching wan watch today tmr lor
4520,ham,got part nottingham hrs miles good thing love man much mph hey ho
1245,ham,im going dinner soon
4926,ham,ok let noe leave house
1752,ham,thinking chuckin ur red green black trainners save carryin bac train
